nombre_nivel,segmento_completo,scenario_id,n_predios,tarifa_prom_esc,recaudo_tot_esc,share_recaudo_segmento,cobertura_tarifa_esc,recaudo_millones,share_recaudo_pct
Agresivo,Económico - Altos,147,1376,13,10431517.409005146,0.7641352299222017,100,10.43,76.4
Agresivo,Institucional,147,29,11.38,2134403.460302828,0.15635049196939318,100,2.13,15.6
Agresivo,Vulnerables,147,1548,6,937027.1859975122,0.06863962893811142,100,0.94,6.9
Agresivo,Especulativo,147,61,24,118347.78354869212,0.00866927669743375,100,0.12,0.9
Agresivo,Servicios - Altos,147,11,14.27,30106.426772550523,0.0022053724728599,100,0.03,0.2
Agresivo,Económico - Bajos,147,181,12,1.031515e-301,0,100,0,0
Agresivo,Servicios - Bajos,147,7,13,2.7025e-303,0,100,0,0
Conservador,Económico - Altos,170,1376,10.08,8103930.509150543,0.7100391141375992,100,8.1,71
Conservador,Institucional,170,29,9.52,2108774.0307154,0.1847636826345992,100,2.11,18.5
Conservador,Vulnerables,170,1548,6.38,1055605.2597655563,0.09248857979181896,100,1.06,9.2
Conservador,Especulativo,170,61,24,118347.78354869212,0.01036923444693628,100,0.12,1
Conservador,Servicios - Altos,170,11,12.09,26700.28372187784,0.00233938898904649,100,0.03,0.2
Conservador,Económico - Bajos,170,181,9.07,7.84314e-302,0,100,0,0
Conservador,Servicios - Bajos,170,7,10.57,2.1946000000000002e-303,0,100,0,0
Moderado,Económico - Altos,2079,1376,12,9629092.9929278,0.7697560873858301,100,9.63,77
Moderado,Institucional,2079,29,10,1785788.8362488642,0.14275714529892147,100,1.79,14.3
Moderado,Vulnerables,2079,1548,6,937027.1859975122,0.07490657541653754,100,0.94,7.5
Moderado,Especulativo,2079,61,26,128210.09884441644,0.01024920043064418,100,0.13,1
Moderado,Servicios - Altos,2079,11,14,29159.02060347866,0.0023309914680668,100,0.03,0.2
Moderado,Económico - Bajos,2079,181,11,9.45543e-302,0,100,0,0
Moderado,Servicios - Bajos,2079,7,12,2.4945e-303,0,100,0,0
